"key","base","es","en","it"
"action.save","guardar","guardar","keep","Mantenere"
"action.update","actualizar","actualizar","update","aggiornamento"
"action.delete","Eliminar","Eliminar","Eliminate","Eliminare"
"test.counting","contando {{0}} de {{1}}","contando {{0}} de {{1}}","counting {{0}} of {{1}}","Conteggio {{0}} di {{1}}"
"general.add","añadir","añadir","add","aggiungere"
"general.decrease","disminuir","disminuir","decrease","diminuire"
"general.search","buscar","buscar","look for","cercare"
"actions.send","enviar","enviar","send","Inviare"
"general.contact_us","contactanos","contactanos","Contact us","Contattaci"
"general.counter","contador","contador","counter","contatore"
"card.title","suscribete a mi canal de youtube soy {{0}}","suscribete a mi canal de youtube soy {{0}}","Subscribe to my YouTube channel I am {{0}}","Iscriviti al mio canale YouTube I am {{0}}"
"card.message","Desarrollador de software apasionado por la tecnología y el aprendizaje constante. Comparto información y consejos útiles sobre desarrollo.","Desarrollador de software apasionado por la tecnología y el aprendizaje constante. Comparto información y consejos útiles sobre desarrollo.","Software developer passionate about technology and constant learning. I share information and useful tips on development.","Sviluppatore di software appassionato di tecnologia e apprendimento costante. Condivido informazioni e suggerimenti utili sullo sviluppo."
